track_id,track_name_x,popularity,track_uri,artist_name,artist_popularity,artist_genres,album,track_name_y,danceability,energy,tempo,loudness,valence,speechiness,instrumentalness,liveness,acousticness
7qiZfU4dY1lWllzX7mPBI3,Shape of You,89,spotify:track:7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,96,"['pop', 'uk pop']",÷ (Deluxe),Shape of You,0.825,0.652,95.977,-3.183,0.931,0.0802,0.0,0.0931,0.581
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,95,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,97,"['canadian contemporary r&b', 'canadian pop', 'pop']",After Hours,Blinding Lights,0.514,0.73,171.005,-5.934,0.334,0.0598,9.54e-05,0.0897,0.00146
1rgnBhdG2JDFTbYkYRZAku,Dance Monkey,68,spotify:track:1rgnBhdG2JDFTbYkYRZAku,Tones And I,78,"['australian pop', 'pop']",Dance Monkey,Dance Monkey,0.826,0.593,98.083,-6.401,0.541,0.0976,0.000161,0.17,0.688
0e7ipj03S05BNilyu5bRzt,rockstar (feat. 21 Savage),88,spotify:track:0e7ipj03S05BNilyu5bRzt,Post Malone,91,"['dfw rap', 'melodic rap', 'rap']",beerbongs & bentleys,rockstar (feat. 21 Savage),0.585,0.52,159.801,-6.136,0.129,0.0712,7.01e-05,0.131,0.124
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,90,spotify:track:7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,82,"['pop', 'uk pop']",Divinely Uninspired To A Hellish Extent,Someone You Loved,0.501,0.405,109.891,-5.679,0.446,0.0319,0.0,0.105,0.751
12VWzyPDBCc8fqeWCAfNwR,One Dance,2,spotify:track:12VWzyPDBCc8fqeWCAfNwR,Drake,98,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",Views,One Dance,0.792,0.625,103.967,-5.609,0.37,0.0536,0.00188,0.329,0.00776
7crMiinWx373rNBZBaVske,Closer,57,spotify:track:7crMiinWx373rNBZBaVske,The Chainsmokers,85,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",Collage EP,Closer,0.738,0.541,94.949,-5.597,0.657,0.0303,0.0,0.11,0.415
3KkXRkHbMCARz0aVfEt68P,Sunflower - Spider-Man: Into the Spider-Verse,88,spotify:track:3KkXRkHbMCARz0aVfEt68P,Post Malone,91,"['dfw rap', 'melodic rap', 'rap']",Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Sunflower - Spider-Man: Into the Spider-Verse,0.76,0.479,89.911,-5.574,0.913,0.0466,0.0,0.0703,0.556
6v3KW9xbzN5yKLt9YKDYA2,Señorita,83,spotify:track:6v3KW9xbzN5yKLt9YKDYA2,Shawn Mendes,89,"['canadian pop', 'dance pop', 'pop', 'viral pop']",Shawn Mendes (Deluxe),Señorita,0.759,0.548,116.967,-6.049,0.749,0.029,0.0,0.0828,0.0392
1NtIMM4N0cFa1dNzN15chl,Believer,0,spotify:track:1NtIMM4N0cFa1dNzN15chl,Imagine Dragons,92,"['modern rock', 'rock']",Evolve,Believer,0.772,0.78,124.988,-4.288,0.719,0.108,0.0,0.119,0.0512
2Fxmhks0bxGSBdJ92vM42m,bad guy,88,spotify:track:2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,92,"['art pop', 'electropop', 'pop']","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",bad guy,0.701,0.425,135.128,-10.965,0.562,0.375,0.13,0.1,0.328
0tgVpDi06FyKpA1z0VMD4v,Perfect,90,spotify:track:0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,96,"['pop', 'uk pop']",÷ (Deluxe),Perfect,0.599,0.448,95.05,-6.312,0.168,0.0232,0.0,0.106,0.163
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,88,spotify:track:5uCax9HTNlzGybIStD3vDh,James Arthur,83,"['pop', 'talent show', 'uk pop']",Back from the Edge,Say You Won't Let Go,0.358,0.557,85.043,-7.398,0.494,0.059,0.0,0.0902,0.695
34gCuhDGsG4bRPIf9bb02f,Thinking out Loud,87,spotify:track:34gCuhDGsG4bRPIf9bb02f,Ed Sheeran,96,"['pop', 'uk pop']",x (Deluxe Edition),Thinking out Loud,0.781,0.445,78.998,-6.061,0.591,0.0295,0.0,0.184,0.474
6DCZcSspjsKoFjzjrWoCdn,God's Plan,87,spotify:track:6DCZcSspjsKoFjzjrWoCdn,Drake,98,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",Scorpion,God's Plan,0.754,0.449,77.169,-9.211,0.357,0.109,8.29e-05,0.552,0.0332
0s3nnoMeVWz3989MkNQiRf,Lucid Dreams,3,spotify:track:0s3nnoMeVWz3989MkNQiRf,Juice WRLD,95,"['chicago rap', 'melodic rap']",Goodbye & Good Riddance,Lucid Dreams,0.511,0.566,83.903,-7.23,0.218,0.2,0.0,0.34,0.349
3PfIrDoz19wz7qK7tYeu62,Don't Start Now,86,spotify:track:3PfIrDoz19wz7qK7tYeu62,Dua Lipa,94,"['dance pop', 'pop', 'uk pop']",Future Nostalgia,Don't Start Now,0.793,0.793,123.95,-4.521,0.679,0.083,0.0,0.0951,0.0123
1HNkqx9Ahdgi1Ixy2xkKkL,Photograph,88,spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL,Ed Sheeran,96,"['pop', 'uk pop']",x (Deluxe Edition),Photograph,0.614,0.379,107.989,-10.48,0.201,0.0476,0.000464,0.0986,0.607
